Product_Code;Warehouse;Month;Order_Demand
Product_1281;Whse_S;1;108000
Product_1355;Whse_S;1;63000
Product_1341;Whse_S;1;1141000
Product_1234;Whse_S;1;41000
Product_1567;Whse_S;1;473000
Product_1431;Whse_S;1;569000
Product_1279;Whse_S;1;419000
Product_1839;Whse_S;1;30000
Product_1342;Whse_S;1;1751000
Product_0374;Whse_S;1;40000
Product_0387;Whse_S;1;77000
Product_1817;Whse_S;1;540000
Product_1264;Whse_S;1;595000
Product_1432;Whse_S;1;2046000
Product_1195;Whse_S;1;20000
Product_1356;Whse_S;1;38000
Product_1387;Whse_S;1;2000
Product_1787;Whse_S;1;2500
Product_0064;Whse_S;1;42000
Product_1502;Whse_S;1;38250
Product_1823;Whse_C;1;80000
Product_1016;Whse_S;1;5300
Product_0033;Whse_C;1;16000
Product_1570;Whse_S;1;247000
Product_1350;Whse_C;1;43000
Product_1432;Whse_C;1;155000
Product_0998;Whse_S;1;64800
Product_1195;Whse_C;1;66000
Product_1198;Whse_C;1;13000
Product_1439;Whse_C;1;76000
Product_0021;Whse_S;1;72500
Product_1342;Whse_C;1;97000
Product_1407;Whse_C;1;48000
Product_1450;Whse_C;1;22000
Product_0083;Whse_S;1;2260000
Product_1263;Whse_C;1;106000
Product_1991;Whse_C;1;400
Product_1341;Whse_C;1;128000
Product_1466;Whse_S;1;44000
Product_1250;Whse_A;1;18200
Product_1496;Whse_A;1;98150
Product_1461;Whse_A;1;23750
Product_1513;Whse_A;1;57300
Product_0984;Whse_A;1;32200
Product_0031;Whse_A;1;10100
Product_0936;Whse_A;1;92500
Product_1410;Whse_A;1;56100
Product_1470;Whse_A;1;75600
Product_0979;Whse_A;1;29400
Product_0998;Whse_A;1;1400
Product_1404;Whse_C;1;5000
Product_1521;Whse_C;1;46000
Product_1278;Whse_C;1;244000
Product_1388;Whse_A;1;124500
Product_1548;Whse_A;1;48650
Product_1432;Whse_A;1;59000
Product_1825;Whse_S;1;37500
Product_1270;Whse_C;1;26000
Product_1247;Whse_C;1;184000
Product_0083;Whse_C;1;174000
Product_0094;Whse_C;1;88000
Product_1394;Whse_C;1;70000
Product_1480;Whse_C;1;190000
Product_0984;Whse_S;1;400
Product_1264;Whse_A;1;77000
Product_0424;Whse_A;1;40000
Product_1299;Whse_A;1;41100
Product_1521;Whse_A;1;33000
Product_1263;Whse_S;1;197000
Product_1970;Whse_S;1;10000
Product_1262;Whse_J;1;242100
Product_1430;Whse_J;1;148800
Product_1264;Whse_J;1;1097000
Product_1360;Whse_J;1;1179000
Product_1432;Whse_J;1;238000
Product_0943;Whse_J;1;53000
Product_1359;Whse_J;1;8911000
Product_1904;Whse_C;1;315000
Product_1274;Whse_J;1;1639000
Product_1570;Whse_C;1;93000
Product_1450;Whse_S;1;32000
Product_1147;Whse_J;1;110000
Product_1287;Whse_J;1;1043300
Product_1295;Whse_J;1;1360800
Product_1378;Whse_J;1;1272100
Product_1382;Whse_J;1;1458400
Product_1453;Whse_J;1;1267300
Product_0936;Whse_S;1;150000
Product_1222;Whse_J;1;126400
Product_1356;Whse_J;1;269000
Product_1404;Whse_S;1;253000
Product_1574;Whse_S;1;597000
Product_1991;Whse_J;1;46000
Product_1465;Whse_C;1;29000
Product_1294;Whse_J;1;1189400
Product_1377;Whse_J;1;847100
Product_1381;Whse_J;1;430100
Product_1452;Whse_J;1;324900
Product_1456;Whse_J;1;296050
Product_1451;Whse_J;1;1422000
Product_1418;Whse_J;1;115100
Product_0012;Whse_J;1;50000
Product_1355;Whse_J;1;147000
Product_1315;Whse_J;1;249600
Product_1286;Whse_J;1;1439400
Product_1134;Whse_J;1;38300
Product_1216;Whse_J;1;220000
Product_1469;Whse_J;1;57800
Product_1480;Whse_J;1;32000
Product_1316;Whse_J;1;140300
Product_1241;Whse_J;1;950000
Product_1023;Whse_J;1;83200
Product_1248;Whse_J;1;3772000
Product_0021;Whse_C;1;5500
Product_1163;Whse_J;1;60000
Product_1521;Whse_J;1;115000
Product_0931;Whse_J;1;445000
Product_0981;Whse_J;1;24400
Product_0984;Whse_J;1;42200
Product_1570;Whse_J;1;13500
Product_1970;Whse_J;1;203000
Product_1281;Whse_J;1;62000
Product_1410;Whse_J;1;117400
Product_1465;Whse_J;1;80000
Product_1458;Whse_J;1;88200
Product_1512;Whse_J;1;124100
Product_1463;Whse_J;1;125200
Product_1455;Whse_J;1;117950
Product_0031;Whse_J;1;66000
Product_1278;Whse_J;1;87000
Product_1312;Whse_J;1;65700
Product_1387;Whse_J;1;60300
Product_1403;Whse_J;1;159000
Product_1242;Whse_J;1;15000
Product_0979;Whse_J;1;43600
Product_1526;Whse_J;1;226000
Product_1554;Whse_J;1;501000
Product_1278;Whse_S;1;559000
Product_0012;Whse_S;1;25000
Product_1158;Whse_J;1;400000
Product_1450;Whse_J;1;87000
Product_0016;Whse_J;1;54400
Product_1555;Whse_J;1;215500
Product_0033;Whse_J;1;216500
Product_0933;Whse_J;1;385000
Product_1282;Whse_J;1;100000
Product_1250;Whse_J;1;207900
Product_1350;Whse_J;1;590000
Product_1394;Whse_J;1;20000
Product_1135;Whse_J;1;94000
Product_0083;Whse_J;1;355000
Product_1403;Whse_C;1;134000
Product_1886;Whse_C;1;1600
Product_1466;Whse_C;1;50000
Product_0936;Whse_J;1;75000
Product_1766;Whse_J;1;46000
Product_1156;Whse_J;1;150000
Product_1435;Whse_J;1;135000
Product_1016;Whse_J;1;1328900
Product_1886;Whse_J;1;387500
Product_1825;Whse_J;1;357500
Product_1018;Whse_J;1;23000
Product_1224;Whse_J;1;64000
Product_1817;Whse_J;1;67500
Product_1279;Whse_J;1;8000
Product_1157;Whse_J;1;330000
Product_0998;Whse_J;1;1300
Product_1839;Whse_J;1;205000
Product_1290;Whse_J;1;171000
Product_0031;Whse_S;1;3000
Product_1581;Whse_S;1;15000
Product_1159;Whse_J;1;220000
Product_1356;Whse_C;1;5000
Product_1502;Whse_J;1;48000
Product_0021;Whse_J;1;21000
Product_1823;Whse_J;1;80000
Product_1480;Whse_S;1;235000
Product_1152;Whse_J;1;270000
Product_1581;Whse_J;1;173000
Product_1479;Whse_J;1;243000
Product_1348;Whse_J;1;6000
Product_1466;Whse_J;1;7000
Product_1520;Whse_J;1;169000
Product_1431;Whse_A;1;31000
Product_1151;Whse_J;1;80000
Product_1375;Whse_J;1;52000
Product_1493;Whse_J;1;85800
Product_0073;Whse_J;1;200000
Product_1380;Whse_J;1;28800
Product_1388;Whse_J;1;5200
Product_1470;Whse_J;1;37900
Product_1195;Whse_J;1;29000
Product_1469;Whse_A;1;5600
Product_0981;Whse_A;1;15450
Product_1496;Whse_J;1;14050
Product_0064;Whse_J;1;138000
Product_0071;Whse_J;1;53000
Product_1904;Whse_J;1;11000
Product_1149;Whse_J;1;180000
Product_1237;Whse_S;1;125000
Product_1403;Whse_S;1;157000
Product_0071;Whse_C;1;109000
Product_1281;Whse_C;1;92000
Product_0002;Whse_S;1;65000
Product_0033;Whse_S;1;501000
Product_1393;Whse_S;1;391000
Product_1135;Whse_C;1;40000
Product_1355;Whse_C;1;94000
Product_1224;Whse_S;1;15000
Product_1241;Whse_S;1;162000
Product_1245;Whse_S;1;155000
Product_1246;Whse_S;1;81000
Product_1512;Whse_A;1;19400
Product_0980;Whse_A;1;8000
Product_1886;Whse_A;1;100
Product_1825;Whse_A;1;27500
Product_1824;Whse_S;1;75000
Product_1812;Whse_S;1;25000
Product_1581;Whse_C;1;2000
Product_1886;Whse_S;1;11100
Product_1361;Whse_J;1;380000
Product_0063;Whse_J;1;150000
Product_1787;Whse_J;1;57500
Product_1394;Whse_S;1;62000
Product_1396;Whse_J;1;21000
Product_1512;Whse_C;1;2800
Product_1465;Whse_S;1;16000
Product_1047;Whse_J;1;120000
Product_1397;Whse_J;1;44000
Product_1162;Whse_J;1;10000
Product_1439;Whse_J;1;60000
Product_1264;Whse_C;1;96000
Product_1502;Whse_C;1;156000
Product_1513;Whse_J;1;21000
Product_0066;Whse_J;1;273000
Product_1150;Whse_J;1;140000
Product_1198;Whse_J;1;75000
Product_1256;Whse_J;1;26100
Product_1166;Whse_C;1;300000
Product_1350;Whse_S;1;339000
Product_0082;Whse_J;1;271000
Product_1393;Whse_J;1;180000
Product_1245;Whse_C;1;462000
Product_1246;Whse_J;1;88000
Product_1548;Whse_C;1;11000
